Namespace(algo='dqn', batch_size=32, checkpoint_freq=200000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='breakout_dqn/199999.pth', log='log_breakout_dqn.txt', lr=0.0001, niter=200000, nproc=2, parallel_env=0, print_freq=500, replay_size=1000000, save_dir='breakout_dqn/', target_update=2500, train_freq=2, train_start=5000, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
load pretrained model from breakout_dqn/199999.pth
obses on reset: 2 x (4, 84, 84) uint8
iter    500 |loss   0.00 |n_ep     3 |ep_len  170.9 |ep_rew   3.20 |raw_ep_rew    nan |env_step   1000 |time 00:04 rem 29:13
iter  36000 |loss   0.00 |n_ep   419 |ep_len  190.4 |ep_rew   4.60 |raw_ep_rew  34.32 |env_step  72000 |time 09:16 rem 42:14
iter  36500 |loss   0.00 |n_ep   425 |ep_len  178.6 |ep_rew   4.24 |raw_ep_rew  33.02 |env_step  73000 |time 09:24 rem 42:09
iter  37000 |loss   0.00 |n_ep   428 |ep_len  216.1 |ep_rew   5.25 |raw_ep_rew  33.02 |env_step  74000 |time 09:33 rem 42:04
iter  37500 |loss   0.00 |n_ep   434 |ep_len  200.5 |ep_rew   4.79 |raw_ep_rew  32.92 |env_step  75000 |time 09:41 rem 42:00
iter  38000 |loss   0.00 |n_ep   439 |ep_len  182.9 |ep_rew   4.22 |raw_ep_rew  33.73 |env_step  76000 |time 09:49 rem 41:54
iter  38500 |loss   0.00 |n_ep   446 |ep_len  183.0 |ep_rew   4.05 |raw_ep_rew  33.55 |env_step  77000 |time 09:58 rem 41:49
iter  39000 |loss   0.00 |n_ep   450 |ep_len  193.6 |ep_rew   4.34 |raw_ep_rew  33.04 |env_step  78000 |time 10:06 rem 41:44
iter  39500 |loss   0.00 |n_ep   455 |ep_len  195.4 |ep_rew   4.27 |raw_ep_rew  33.04 |env_step  79000 |time 10:14 rem 41:38
iter  40000 |loss   0.00 |n_ep   463 |ep_len  165.6 |ep_rew   3.74 |raw_ep_rew  32.09 |env_step  80000 |time 10:23 rem 41:33
iter  40500 |loss   0.01 |n_ep   467 |ep_len  195.1 |ep_rew   4.58 |raw_ep_rew  32.09 |env_step  81000 |time 10:31 rem 41:28
iter  41000 |loss   0.00 |n_ep   472 |ep_len  186.7 |ep_rew   4.16 |raw_ep_rew  32.20 |env_step  82000 |time 10:40 rem 41:23
iter  41500 |loss   0.00 |n_ep   478 |ep_len  179.8 |ep_rew   3.91 |raw_ep_rew  32.20 |env_step  83000 |time 10:48 rem 41:17
iter  42000 |loss   0.00 |n_ep   481 |ep_len  182.2 |ep_rew   4.15 |raw_ep_rew  33.10 |env_step  84000 |time 10:57 rem 41:12
iter  42500 |loss   0.00 |n_ep   487 |ep_len  182.6 |ep_rew   4.34 |raw_ep_rew  33.10 |env_step  85000 |time 11:05 rem 41:07
iter  43000 |loss   0.00 |n_ep   493 |ep_len  192.4 |ep_rew   4.71 |raw_ep_rew  34.39 |env_step  86000 |time 11:14 rem 41:02
iter  43500 |loss   0.00 |n_ep   497 |ep_len  203.4 |ep_rew   4.94 |raw_ep_rew  34.16 |env_step  87000 |time 11:22 rem 40:56
iter  44000 |loss   0.00 |n_ep   502 |ep_len  198.2 |ep_rew   5.11 |raw_ep_rew  36.74 |env_step  88000 |time 11:31 rem 40:51
iter  44500 |loss   0.00 |n_ep   509 |ep_len  187.4 |ep_rew   4.57 |raw_ep_rew  37.17 |env_step  89000 |time 11:39 rem 40:45
iter  45000 |loss   0.01 |n_ep   514 |ep_len  178.4 |ep_rew   4.33 |raw_ep_rew  35.85 |env_step  90000 |time 11:48 rem 40:40
iter  45500 |loss   0.00 |n_ep   521 |ep_len  158.7 |ep_rew   3.70 |raw_ep_rew  34.38 |env_step  91000 |time 11:57 rem 40:34
iter  46000 |loss   0.00 |n_ep   526 |ep_len  170.7 |ep_rew   3.95 |raw_ep_rew  34.38 |env_step  92000 |time 12:05 rem 40:29
iter  46500 |loss   0.00 |n_ep   530 |ep_len  199.8 |ep_rew   4.80 |raw_ep_rew  34.24 |env_step  93000 |time 12:14 rem 40:23
iter  47000 |loss   0.00 |n_ep   535 |ep_len  207.4 |ep_rew   4.92 |raw_ep_rew  34.82 |env_step  94000 |time 12:22 rem 40:17
iter  47500 |loss   0.00 |n_ep   539 |ep_len  216.7 |ep_rew   5.22 |raw_ep_rew  36.23 |env_step  95000 |time 12:31 rem 40:11
iter  48000 |loss   0.00 |n_ep   545 |ep_len  202.7 |ep_rew   4.94 |raw_ep_rew  36.21 |env_step  96000 |time 12:39 rem 40:06
iter  48500 |loss   0.00 |n_ep   550 |ep_len  200.1 |ep_rew   4.93 |raw_ep_rew  36.33 |env_step  97000 |time 12:48 rem 40:00
iter  49000 |loss   0.00 |n_ep   555 |ep_len  200.8 |ep_rew   5.00 |raw_ep_rew  36.33 |env_step  98000 |time 12:56 rem 39:54
iter  49500 |loss   0.00 |n_ep   561 |ep_len  189.2 |ep_rew   4.64 |raw_ep_rew  36.52 |env_step  99000 |time 13:05 rem 39:48
iter  50000 |loss   0.00 |n_ep   565 |ep_len  205.4 |ep_rew   5.04 |raw_ep_rew  36.52 |env_step 100000 |time 13:14 rem 39:42
iter  50500 |loss   0.01 |n_ep   571 |ep_len  188.5 |ep_rew   4.63 |raw_ep_rew  37.79 |env_step 101000 |time 13:22 rem 39:36
iter  51000 |loss   0.00 |n_ep   577 |ep_len  169.3 |ep_rew   3.97 |raw_ep_rew  37.79 |env_step 102000 |time 13:31 rem 39:30
iter  51500 |loss   0.00 |n_ep   582 |ep_len  180.5 |ep_rew   4.39 |raw_ep_rew  35.60 |env_step 103000 |time 13:40 rem 39:24
iter  52000 |loss   0.00 |n_ep   588 |ep_len  175.1 |ep_rew   4.26 |raw_ep_rew  35.60 |env_step 104000 |time 13:48 rem 39:18
iter  52500 |loss   0.01 |n_ep   592 |ep_len  188.3 |ep_rew   4.50 |raw_ep_rew  34.49 |env_step 105000 |time 13:57 rem 39:13
iter  53000 |loss   0.00 |n_ep   597 |ep_len  202.9 |ep_rew   5.02 |raw_ep_rew  34.49 |env_step 106000 |time 14:06 rem 39:07
iter  53500 |loss   0.00 |n_ep   602 |ep_len  201.2 |ep_rew   4.99 |raw_ep_rew  37.71 |env_step 107000 |time 14:15 rem 39:01
iter  54000 |loss   0.00 |n_ep   608 |ep_len  182.8 |ep_rew   4.44 |raw_ep_rew  37.44 |env_step 108000 |time 14:23 rem 38:55
iter  54500 |loss   0.00 |n_ep   616 |ep_len  153.9 |ep_rew   3.76 |raw_ep_rew  35.09 |env_step 109000 |time 14:32 rem 38:49
iter  55000 |loss   0.00 |n_ep   619 |ep_len  173.5 |ep_rew   4.19 |raw_ep_rew  35.09 |env_step 110000 |time 14:41 rem 38:43
